Title,Composer,Rhythm,TimeSignature,Key,Year
What Are You Doing The Rest Of Your Life?,Michel Legrand,Ballad,4/4,Amin,1969
What Is This Thing Called Love,Cole Porter,Up Tempo Swing,4/4,,1931
What'll I Do,Irving Berlin,Waltz,3/4,,1927
What's New,Bob Haggard,Ballad,4/4,,1957
When I Fall In Love,Victor Young,Ballad,4/4,Eb,1952
When It's Sleepy Time Down South,Traditional,Medium Swing,4/4,,1931
When Lights Are Low,Benny Carter,Medium Swing,4/4,Eb,1956
When Sunny Gets Blue,Marvin Fisher,Ballad,4/4,F,1954
When The Saints Go Marching In,Traditional,Medium Swing,4/4,F,1914
When The Sun Comes Out,Harold Arlen,Ballad,4/4,G,1941
When You Wish Upon A Star,Leigh Harline,Ballad,4/4,,1940
When You're Smilin',Shay - Fisher - Goodwin,Medium Swing,4/4,Bb,1934
When Your Lover Has Gone,E.A. Swan,Medium Swing,4/4,G,1931
Where Are You?,Jimmy McHugh,Ballad,4/4,G,1955
Where Or When,Richard Rodgers,Medium Swing,4/4,Eb,1936
While We're Young,Wilder-Palitz,Waltz,3/4,Eb,1939
Whisper Not,Benny Golson,Medium Swing,4/4,Cmin,1955
Who Can I Turn To,Newley-Bricusse,Medium Swing,4/4,Eb,1964
Who Cares,George Gershwin,Medium Swing,4/4,,1927
Who's Sorry Now?,Snyder-Kalmar-Ruby,Ballad,4/4,,1909
Why Do I Love You?,Jerome Kern,Medium Swing,4/4,Ab,1927
Why Don't You Do Right?,Kansas-Joe McCoy,Medium Swing,4/4,Dmin,1934
Wild Flower,Wayne Shorter,Waltz,6/4,Bb,1967
Will You Still Be Mine?,Matt Dennis,Up Tempo Swing,4/4,Eb,1932
Willow Weep For Me,Ann Ronell,Slow Swing,4/4,G,1935
Windows,Chick Corea,Waltz,3/4,Bmin,1964
Witch Hunt,Wayne Shorter,Slow Swing,4/4,Cmin,1964
Witchcraft,Cy Coleman,Medium Swing,4/4,F,1956
With A Song In My Heart,Richard Rodgers,Up Tempo Swing,4/4,Eb,1939
With The Wind And The Rain In Your Hair,Clare Edwards,Medium Swing,4/4,Eb,1939
Without A Song,Vincent Youmans,Up Tempo Swing,4/4,Eb,1929
Without A Song (Joe Henderson Changes),Vincent Youmans,Up Tempo Swing,4/4,Eb,1963
Woody'n You,Dizzy Gillespie,Up Tempo Swing,4/4,Db,1941
Work Song,Nat Adderley,Medium Up Swing,4/4,Fmin,1966
Wouldn't It Be Loverly,Frederick Loewe,Medium Swing,4/4,G,1957
Wrap Your Troubles In Dreams,Harry Barris,Medium Swing,4/4,,1931
Yardbird Suite,Charlie Parker,Medium Up Swing,4/4,,1946
Yes And No,Wayne Shorter,Up Tempo Swing,4/4,D,1964
Yesterday's Gardenias,Robertson Mysels,Medium Swing,4/4,Bb,1941
Yesterdays,Jerome Kern,Medium Up Swing,4/4,Dmin,1933
You And The Night And The Music,Arthur Schwartz,Medium Up Swing,4/4,Cmin,1941
You Are Too Beautiful,Richard Rodgers,Ballad,4/4,,1930
You Better Go Now,Reichner-Graham,Medium Swing,4/4,Eb,1947
You Brought A New Kind Of Love To Me,Fain-Kaval-Norman,Medium Swing,4/4,Ab,1930
You Can Depend On Me,Carpenter-Dunlap-Hines,Medium Up Swing,4/4,F,1939
You Do Something To Me,Cole Porter,Medium Up Swing,4/4,Eb,1931
You Don't Know What Love Is,Raye-DePaul,Ballad,4/4,Fmin,1934
You Go To My Head,Fred Coots,Ballad,4/4,Eb,1930
You Keep Coming Back Like A Song,Irving Berlin,Medium Swing,4/4,Eb,1946
You Made Me Love You,James Monaco,Medium Swing,4/4,,1914
You Make Me Feel So Young,Josef Myrow,Medium Swing,4/4,Bb,1955
