Title,Composer,Rhythm,TimeSignature,Sections,Key,Year
Tickle-Toe,Lester Young,Up Tempo Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Bbm7,F7|Bbm7,F7|Bbm7|Bb7|Ebm7,Bb7|Ebm7,Bb7|Ebm7|Abm7,Db7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Gb7|B7|Dbmaj7|Fm7,Bb7|Eb7|Bbm7,Eb7|Ab7|F7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Bbm7,F7|Bbm7,F7|Bbm7|Bb7|Ebm7,Bb7|Ebm7,Bb7|Ebm7|Abm7,Db7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Gb7|B7|Dbmaj7|Bb7|Eb7|Ab7|Dbmaj7|Cm7b5,F7b9'}}]",Db,1940
Till There Was You,Meredith Wilson,Ballad,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Ebmaj7|E07|Fm7|Abm7,Db7|Gm7,Gb07|Fm7,Bb7'}, 'Endings': [{'Chords': 'Gm7,Gb7|Fm7,Bb7'}, {'Chords': 'Eb6,Abm6|Bbm7,Eb7'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Abmaj7|A07|Ebmaj7|C7|Fm7,Gm7|Am7b5|Fm7/Bb|Bb7#5'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Ebmaj7|E07|Fm7|Abm7,Db9|Gm7,Gb07|Fm7,Bb7|Eb6|Fm7,Bb7'}}]",Eb,1957
Time After Time,Jule Styne,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Cmaj7,Am7|Dm7,G7|Cmaj7,Am7|Dm7,G7|Cmaj7|Cmaj7|Bm7b5|E7b9|Am,Am/G|F#m7b5,B7b9|Em7|A7b9|Dm7|Em7b5,A7b9|Ab7#11|G7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Cmaj7,Am7|Dm7,G7|Cmaj7,Am7|Dm7,G7|Cmaj7|Gm7,C7|Fmaj7|Fm6,Bb7|C6|F#m7b5,Fm6|Em7,Am7|D7,Fm6|Em7,Am7|Dm7,G7|C6,Am7|Dm7,G7'}}]",,1957
Time On My Hands,Vincent Youmans,Ballad,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Fmaj7|Fmaj7|Bm7b5|E7b9|Gm7|Gm7'}, 'Endings': [{'Chords': 'C7|C7'}, {'Chords': 'Em7b5|A7b9'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'D7b13|D7b13|G7#11|Gm7,C7|Dm7|G7|Gm7|C7'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Fmaj7|Bb7#11|A7#9|D7b13|G7#11|C7|F6,D7|Gm7,C7'}}]",F,1930
Time Remembered,Bill Evans,Ballad,4/4,"[{'MainSegment': {'Chords': 'Bm9|Cmaj7#11|Fmaj7#11|Em9|Am9,Dm9|Gm9|Ebmaj7#11|Abmaj7#11|Am9|Dm9|Gm9|Cm9|Fm11|Em9|Bm9|Bm9|Ebm9|Am9|Cm9|F#m9|Bm9|Gm9|Ebmaj7#11|Dm7|Cm9|Cm9'}}]",Bmin,1964
Tin Tin Deo,Dizzy Gillespie,Latin,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Fm6,Ebm6|Dbmaj7,C7#5|Fm6,D7#9|Gm7b5,Gb7|Fm6,Ebm6|Dbmaj7,C7#5|Fm7,Bb7|Eb7,D7b5#9'}}, {'Label': 'B', 'Repeats': 1, 'MainSegment': {'Chords': 'C7#9|C7#9|Fm6|Fm6|C7#9|C7#9|Fm6|Fm6'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Bbm7|Bbm7,Eb7b9|Abmaj7,Db7|Cm7,F7b9|Bbm7|Bbm7,Eb7b9|Abmaj7,Dm7b5|Gb7b9,Dm7b5'}}, {'Label': 'B', 'MainSegment': {'Chords': 'C7#9|C7#9|Fm6|Fm6|C7#9|C7#9|Fm6|Fm6'}}]",Fmin,1946
Tiny Capers,Clifford Brown,Medium Up Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Bb6,D7|Gm7,Bb7|Ebmaj7,G7|Cm7,C#07|Dm7,Eb7|Dm7,G7'}, 'Endings': [{'Chords': 'Gm7,C7|Cm7,F7'}, {'Chords': 'Cm7,F7|Bb7'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Eb7b9|Eb7b9|Bb7#11|Bb7#11|Eb7b9|Ebm7,Ab7|Dm7,G7|Cm7,F7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Bb6,D7|Gm7,Bb7|Ebmaj7,G7|Cm7,C#07|Dm7,Eb7|Dm7,G7|Cm7,F7|Bb6,F7'}}]",Bb,1959
Tippin',Horace Silver,Medium Up Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Bb6,G7b9|Cm7,C#07|Bb/D,G7b9|Cm7,F7|Bb7'}, 'Endings': [{'Chords': 'Eb6,E07|Bb/F,G7b9|C7,F7'}, {'Chords': 'Eb6,E07|Bb/F,Gm7|Cm7,,F7,Bb'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Am7|D7|Abm7|Db7|Gm7|C7|Cm7b5|F7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Bb6,G7b9|Cm7,C#07|Bb/D,G7b9|Cm7,F7|Bb7|Eb6,E07|Bb/F,Gm7|C7,,F7,Bb'}}]",Bb,na
Tis Autumn,Henry Nemo,Ballad,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Fm7|Bb7#5|Ebmaj7,Fm7|Gm7,C7b9|Fm7,Db7#11|Cm7,F7|Fm7,Bb7'}, 'Endings': [{'Chords': 'Eb6,C7#9'}, {'Chords': 'Eb6'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Bbm7,Eb7|Bbm7,Eb7|Ab6,Eb7b9#5|Ab6|Cm7,F7|Cm7,F7|Fm7,C7#5#9|F7,Bb7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Fm7|Bb7#5|Ebmaj7,Fm7|Gm7,C7b9|Fm7,Db7#11|Cm7,F7|Fm7,Bb7|Eb6,C7b9#5'}}]",Eb,1947
Tokyo Blues,Horace Silver,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Db7|Db7|Cm7|Cm7|Db7|Db7|Cm7|Cm7|Db7|Db7|Cm7|Cm7|Eb7|D7b13,G7b9|Cm7|Cm7'}}]",Cmin,1960
Tones For Joan's Bones,Chick Corea,Medium Swing,4/4,"[{'Label': 'i', 'MainSegment': {'Chords': 'Em7|Em7|Em7|Em7|Em7b5|Em7b5|Em7b5|Em7b5,Eb7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Dmaj7|Dmaj7|Gm7/D|Gm7/D|D7#9|D7#9,F7b9|Bbmaj7,Abm7|Gbmaj7,F7|Bbm7b5|Bbm7b5|Eb7#9|Eb7#9|Abm7|Abm7/Gb|Fm7b5|Emaj7#11'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Ebmaj7|Gbmaj7|Fmaj7|Abmaj7|Cmaj7|Ebmaj7|Dbm/maj7|Dbm/maj7,A7b9'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Dmaj7|Dmaj7|Gm7/D|Gm7/D|D7#9|D7#9,F7b9|Bbmaj7|Bbmaj7|Em7|A7,Bb07|Bm7|E7|Em7,F#m7|Fm7,Bb7|Ebmaj7,Dm7|Cm7,F7|Em7,F#m7|Gmaj7,A7b9|Ebmaj7#11|Ebmaj7#11'}}]",D,1966
Tonight,Bernstein-Sondheim,Bossa Nova,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Ab|Bb/Ab|Ab|Bb/Ab|Ab|Fm|Gm|F#7|B|C#/B|B|C#m|C#m|Bbm7b5|Eb|Eb'}}, {'Label': 'B', 'MainSegment': {'Chords': 'E|E|Bbm7b5|Bbm7b5|Bm|B07|Bb|Bb7|Ab|Bb/Ab|Ab|Fm|Cm|Eb7|Ab|Ab'}}]",Ab,1957
Tonight I Shall Sleep,Ellington-Mercer,Ballad,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Dbmaj7|Cm7b5,F7b9|Bbm7,Bbm7/Ab|Gm7b5,Gb7#11|Fm7b5,Bb7b9|Fm7b5,Bb7b9|Eb7|Eb7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Ebm7|Ab7|Dbmaj7,Ab7|Db,Gb7,Fm7,E7|Eb7|Bbm7,Eb7|Em7,A7|Ebm7,Ab7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Dbmaj7|Cm7b5,F7b9|Bbm7,Bbm7/Ab|Gm7b5,Gb7#11|Fm7b5,Bb7b9|Fm7b5,Bb7b9|Eb7,A7|Ab7,G7'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Gbmaj7|Ebm7b5,A7|Ab7sus,Bbm7|Eb7,A7|Ab7sus,Bbm7|Ebm7,Ab7|Dbmaj7,Bbm7|Ebm7,Ab7'}}]",Db,1961
Tonight You Belong To Me,Rose-David,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Cmaj7|Em7|Fmaj7|Cmaj7,A7|Dm7,Fm6|Cmaj7,Am7'}, 'Endings': [{'Chords': 'D7|G7'}, {'Chords': 'D7,G7|Cmaj7'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'C7|Gm7,C7|Bbmaj7,Fmaj7|Fmaj7|D7|Am7,D7|G7|G7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Cmaj7|Em7|Fmaj7|Cmaj7,A7|Dm7,Fm6|Cmaj7,Am7|D7,G7|Cmaj7,G7'}}]",,1926
Too Close For Comfort,Bock-Weiss-Holofcener,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Cmaj7|B7#5|Em7b5|A7|Dm7b5|G7'}, 'Endings': [{'Chords': 'Cmaj7|Dm7,G7'}, {'Chords': 'Cmaj7|Gm7,C7'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'F7|F#07|C6/G|Gm7,C7|F7|F#07|Ab7|Dm7,G7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Cmaj7|B7#5|Em7b5|A7b13|Dm7b5|G7|Cmaj7|Gm7,C7'}}, {'Label': 'D', 'MainSegment': {'Chords': 'F7|F#07|Am7b5|D7b9|Ab7|G7|C6|C6'}}]",,1956
Too Marvelous For Words,Richard Whiting,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Am7|D7|Am7|D7|Gmaj7|C7#11'}, 'Endings': [{'Chords': 'Bm7|Em7'}, {'Chords': 'Bmaj7,F#7|B6'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Dm7|G7|Dm7|G7|Cmaj7|F7|Em7,A7|Am7,D7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Am7|D7|Gmaj7,F7|E7b9|Am7|F7|Am7,D7|G6'}}]",G,1936
Too Young,Lippman-Dee,Ballad,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Bb6|Dm7|Gm7|Cm7,F7|Bb6|Dm7|Ebmaj7|Dm7b5,G7|Cm7,Cm7/Bb|Am7b5,D7b9|Gm7|Dm7,Db7|Cm7|F7|Dm7,G7|Cm7,F7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Bb6|Dm7|Gm7|Cm7,F7|Bb6|Bb7|Eb6|Dm7b5,G7|Cm7|Ebm7|Dm7|G7|Cm7|F7|Bb6|Cm7,F7'}}]",Bb,1951
Too Young To Go Steady,Jimmy McHugh,Ballad,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Fmaj7,Dm7|Gm7,C7|Fmaj7,Dm7|Gm7,C7|Am7,D7'}, 'Endings': [{'Chords': 'Gm7,,Em7b5,A7|Dm7,G7|Gm7,C7'}, {'Chords': 'Gm7,C7|F6|Bm7b5,E7b9'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Am7|Bm7b5,E7b9|Am7|Bm7b5,E7b9|Am7|Bm7b5,E7b9|Am7,D7|Gm7,C7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Fmaj7,Dm7|Gm7,C7|Fmaj7,Dm7|Gm7,C7|Am7,D7|Gm7,C7|F6,D7|Gm7,C7'}}]",F,1957
Topsy,Battle-Durham,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Dm|Bb7,A7|Dm|Bb7,A7|Dm|Bb7,A7|Dm|Bb7,A7|Gm|Eb7,D7|Gm|Gm|Dm|Bb7,A7|Dm|Dm'}}, {'Label': 'B', 'MainSegment': {'Chords': 'D7|D7|G7|G7|C7|C7|F7|Bb7,A7'}}, {'MainSegment': {'Chords': 'Dm|Bb7,A7|Dm|Bb7,A7|Dm|Bb7,A7|Dm|Dm'}}]",Dmin,1937
"Touch Of Your Lips, The",Ray Noble,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Cmaj7,Am7|Dm7,G7|Cmaj7,Am7|Dm7,G7|Cmaj7,Am7|Dm7,G7|Em7b5|A7b9'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Dm7b5|G7|Cmaj7|F#m7b5,B7b9|Emaj7,C#m7|F#m7,B7|Emaj7|Dm7,G7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Cmaj7,Am7|Dm7,G7|Cmaj7,Am7|Dm7,G7|Cmaj7,Am7|Dm7,G7|Em7b5|A7b9'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Dm7b5|G7,E7b9#5|Am7|D7|Dm7|G7|C6|Dm7,G7'}}]",,1936
Tour De Force,Dizzy Gillespie,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Dm7b5,Dbm7|Cm7,Bm7|Bbm7,Eb7|Cm7,Bm7|Dm7b5,Dbm7|Cm7,Bm7|Bbm7,Eb7'}, 'Endings': [{'Chords': 'Ab6,Ab6,Bbm7,Ab7'}, {'Chords': 'Ab6'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Ebm7,Ab7|Dbmaj7,D07|Ebm7,Ab7|Dbmaj7|Fm7,Bb7|Ebmaj7,E07|Fm7,E7|Eb7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Dm7b5,Dbm7|Cm7,Bm7|Bbm7,Eb7|Cm7,Bm7|Dm7b5,Dm7|Cm7,Bm7|Bbm7,Eb7|Ab6'}}]",Ab,1954
Toy Tune,Wayne Shorter,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Bbm9,Am9,Cm7,Bm7|Bm7|Db/A|Bbm7,Bmaj7|Gbmaj9,Em69|Dmaj9,Gm9|Fmaj9'}, 'Endings': [{'Chords': 'E7alt'}, {'Chords': 'Gb13'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Fm9,Ebm9|Dm7b9,G7#5#9|C0|B7alt'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Bbm9,Am9,Cm7,Bm7|Bm7|Db/A|Bbm7,Bmaj7|Gbmaj9,Em69|Dmaj9,Gm9|Fmaj9|E7alt'}}]",F,na
Toys,Herbie Hancock,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Bb7(F7)|Bb7(F7)|F7|F7|E7#9|Db|Cm7|Cm7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Eb7|Eb7|Dm|Bb7|Dm|Bb7(Dm)|Dm|Dm'}}]",Dmin,na
Training,Michel Petrucciani,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Dm7,G7|Cm7|C#m7,F#7|Bmaj7|Bbm7,Eb7|Abmaj7|Bbm7,Eb7|Abmaj7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Dm7,G7|Cm7|C#m7,F#7|Bmaj7|Bbm7,Eb7|Abmaj7|Gm7b5,C7|Fm7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Bm7,E7|Gm7b5,C7|Fm7|Em7|Eb7|D7|F#m7/B,Em7/A|Abmaj7|Dm7,G7|Cm7|C#m7,F#7|Bmaj7|Bbm7,Eb7|Abmaj7|Bbm7,Eb7|Abmaj7'}}]",Ab,na
Trane’s Blues,John Coltrane,Medium Swing,4/4,[{'MainSegment': {'Chords': 'Bb7|Eb7|Bb7|Bb7|Eb7|Eb7|Bb7|Bb7|Cm7|F7|Bb7|Bb7'}}],Bb,1958
Travels,Pat Metheny,Even 8ths,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Gmaj7|Gadd9/B|C,C/D|Gmaj7,B7|Em,Em,Dm,|Cadd9|Em,C/D'}, 'Endings': [{'Chords': 'G,Dsus'}, {'Chords': 'G,,F/G,G'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'C,D|Bbmaj7,C|Fmaj7,G|C,,Bb/C,C|Fmaj7,G7|Ebmaj7,,Fsus,F7|Bbmaj7,C|Dsus,D'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Gmaj7|Gmaj7/B|Cmaj7,Cmaj7/D|Gmaj7,B7|Em7,Dm9|Cmaj7|Em7,C/D|Gadd9,C/D'}}, {'MainSegment': {'Chords': 'Gmaj7,,G,D/F#'}}, {'Repeats': 1, 'MainSegment': {'Chords': 'Em,C/D|Gmaj7,B7|Em,C/D|Gmaj7,D/F#'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Em7,C/D|Gmaj7'}}]",G,1978
Tricotism,Oscar Pettiford,Medium Up Swing,4/4,"[{'Label': 'B', 'MainSegment': {'Chords': 'Dbmaj7|Dbmaj7|Eb7|Eb7|Gbmaj7,G07|Db6/Ab,Bb7'}, 'Endings': [{'Chords': 'A7|Ab7'}, {'Chords': 'Ebm7,Ab7|Db6'}]}, {'Label': 'A', 'MainSegment': {'Chords': 'A7|A7|Dbmaj7|Cm7b5,F7b9|Bbm,Bbm/maj7|Bbm7,Eb7|Ebm7|Ab7'}}, {'MainSegment': {'Chords': 'Dbmaj7|Dbmaj7|Eb7|Eb7|Gbmaj7,G07|Db6/Ab,Bb7|Ebm7,Ab7|Db6'}}]",Db,1953
Trinkle Tinkle,Thelonious Monk,Medium Swing,4/4,"[{'Label': 'A', 'Repeats': 1, 'MainSegment': {'Chords': 'Bbm7,Eb7|A7#11|Ab7,Db7|F#7,B7|E7,Fm7|Bb7#5,Ebmaj7|Ebmaj7|Ebmaj7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Bbm7|Eb7#11|Abmaj7|Gm7b5(C7b9/G)|Cm7,F7|Ab7(Db7),A7(D7)|F#7(Dm7),B7(G7)|Fm7(Cm7),Bb7(F7)'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Bbm7,Eb7|A7#11|Ab7,Db7|F#7,B7|E7,Fm7|Bb7#5,Ebmaj7|Ebmaj7|Ebmaj7'}}]",Eb,1954
Triste,Antonio-Carlos Jobim,Bossa Nova,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Amaj7|Amaj7|Fmaj7#11|Fmaj7#11|Amaj7|Amaj7|C#m7|F#7b9|Bm7|G#m7b5,C#7b9|F#m7|G#7#9|C#maj7|D#m7,G#7|C#maj7,F#7|Bm7,E7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Amaj7|Amaj7|Am7|D7|Amaj7|Amaj7|Em7|A7|Dmaj7|G7|C#m7,F#7|B7|Bm7|E7|Am7,D7|Am7,D7|Am7,D7|Am7,D7'}}]",A,1965
Troubled Waters,Arthur Johnston,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Dm6|Gm7,E7|A7|D7|G7|C7|F6'}, 'Endings': [{'Chords': 'Bb7,A7'}, {'Chords': 'Bm7b5,E7b9'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'A7|D7|E7|A7|D6,A7/C#|Bm7,E7|A7|A7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Dm6|Gm7,E7|A7|D7|G7|C7|F6|Bb7,A7'}}]",F,na
Try A Little Tenderness,Harry Woods,Ballad,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Ebmaj7,Cm7|Fm7,Bb7|Eb6,Gm7b5/Db|C7|F7|Bb7'}, 'Endings': [{'Chords': 'Gm7,C7|Fm7,Bb7'}, {'Chords': 'Eb6|Bbm7,Eb7'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Abmaj7|Dm7b5,G7b9|Cm7|F7|Fm7|Gm7,C7|Fm7|Bb7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Ebmaj7,Cm7|Fm7,Bb7|Eb6,Gm7b5/Db|C7|F7|Bb7|Eb6|Fm7,Bb7'}}]",Eb,1933
Tune Up,Miles Davis,Up Tempo Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Em7|A7|Dmaj7|Dmaj7|Dm7|G7|Cmaj7|Cmaj7|Cm7|F7|Bbmaj7|Gm7'}, 'Endings': [{'Chords': 'Em7|F7|Bbmaj7|A7'}, {'Chords': 'Em7|A7|Dmaj7|Dmaj7'}]}]",Bb,1953
Turn Out The Stars,Bill Evans,Ballad,4/4,"[{'Label': 'B', 'MainSegment': {'Chords': 'Bm7b5,E13|Am,A7#5|Dm7,G7b9|Cmaj7,Am7|Fm7,Bb7|Ebmaj7,Cm7|Am7,D7|Gmaj7,Em7|C#m7,F#7|Bmaj7,G#m7|C#m7|Bbm7b5,Eb7|Abm7|Fm7b5,Bb7#5#9|Ebm7,Ebm7/Db|Bmaj7,Ebm7/Bb'}}, {'Label': 'C', 'MainSegment': {'Chords': 'A7sus,A13b9|Dmaj7/A|A7sus|Dmaj7/A|G7sus,G13b9|Cmaj7/G|G7sus,G7|Cmaj7/G,C13'}}, {'MainSegment': {'Chords': 'B7#5|Em7,Bb7#11|A7#5|Dm7,Ab7#11|G7#5|Cm7,Eb9|Abmaj7,C7b9|Fm9|Dm7b5,G7#5#9|Cm7,Eb7sus|Abmaj7,G7b9|Cmaj7,F#7#11|Bm7b5,E13|Am|Ab7sus,Ab13b9|C#m7,F#7'}}]",Amin,1974
Turnaround,Ornette Coleman,Medium Swing,4/4,"[{'MainSegment': {'Chords': 'C7|F7|C7|C7|F7|Fm7|C7|C7|Cm7,Dbm7|Bm7,Am7|C7|G7'}}]",,1957
Twisted,Wardell Gray,Medium Up Swing,4/4,"[{'Label': 'i', 'Repeats': 1, 'MainSegment': {'Chords': 'Bb7,Ab7|Ab7,Bb7|Bb7,Ab7|Ab7,Bb7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Bb7|Eb7|Eb7|Fm7,Bb7|Eb7|Eb7|Bb7|Dm7,Gm7|Cm7|F7|Bb7,Gm7|Cm7,F7'}}]",Bbmin,1957
Twisted Blues,Wes Montgomery,Medium Up Swing,4/4,"[{'MainSegment': {'Chords': 'Gb7|G7|Gb7|G7|Gb7|G7|Gb7|G7|Gb7|G07|Dbmaj7|Bm7,E7|Bbm7,Eb7|Em7,A7|Ebm7,Ab7|Dm7,G7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Bbm7,Eb7|A7,D7|Db7#9'}}]",Db,1966
Two For The Road,Henry Mancini,Ballad,4/4,"[{'Label': 'B', 'MainSegment': {'Chords': 'F#m7b5|B7b9|Em7,Em7/D|Cmaj7,Cmaj7/B|Am7|D7sus,D7b9|C07/G,Gmaj7|F#m7,B7b9'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Em7,B7b13|Em7,A7b9|Dm7,A7b13|Dm7,G7b9|Em7b5,A7b9|Dm7b5,G7b9|Cmaj7,Cmaj7/B|Am7,Am7/G'}}, {'Label': 'D', 'MainSegment': {'Chords': 'F#m7b5|B7b9|Em7,Em7/D|Cmaj7,Cmaj7/B|Am7|D7sus,D7b9|C07/G,Gmaj7|G7/F'}}, {'MainSegment': {'Chords': 'Em7,Em7/D|C#m7b5,Cm6|Bm7,Em7/D|Cmaj7|Bm7,Bb7|Am7,D13b9|G6|Dm7,G7'}}]",G,1962
Two Not One,Lennie Tristano,Up Tempo Swing,4/4,"[{'Label': 'A', 'Repeats': 1, 'MainSegment': {'Chords': 'Dbmaj7|Dbm/maj7|Abmaj7|F7#11|Bbm7|Eb7|Abmaj7|Ab7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'C7|C7|F7|F7|Bb7|Bb7|Eb7|Eb7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Dbmaj7|Dbm/maj7|Abmaj7|F7#11|Bbm7|Eb7|Abmaj7|Ab7'}}]",Ab,1976
Two Sleepy People,Hoagy Carmichael,Ballad,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Eb6,Gb07|Fm7,Bb7|Eb6,C7|Fm7,Bb7|Gm7,C7|Fm7,Abm6'}, 'Endings': [{'Chords': 'Ebmaj7,F7|Fm7,Bb7'}, {'Chords': 'Eb,C7,F7,Bb7|Eb6,Ab7'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Abmaj7,Bb7|Eb6,Bb7,Ebmaj7,|Eb6,G7/D,Cm,Cm7/Bb|Ab6,Bb7|Eb6,Bb7|Eb6,Db7,C7,|F7|Fm7,Bb7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Eb6,Gb07|Fm7,Bb7|Eb6,C7|Fm7,Bb7|Gm7,C7|Fm7,Ab6|Eb,C7,F7,Bb7|Eb6,Bb7'}}]",Eb,1938
Ugly Beauty,Thelonious Monk,Waltz,3/4,"[{'Label': 'A', 'Repeats': 1, 'MainSegment': {'Chords': 'Dm7b5|G13b9|Dm7b5|Dbmaj7,Eb7#11|Ebm7|Ab13b9|Dbmaj7|Dbmaj7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Abm7|Db7b9|Bb7#5#9|Fm7,Bb7#11|Ab9sus|Ab7#11|Abm7|G7b5'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Dm7b5|G13b9|Dm7b5|Dbmaj7,Eb7#11|Ebm7|Ab13b9|Ab13b9|Dbmaj7'}}]",Db,1968
Undecided,Charlie Shavers,Medium Up Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'C6|C6|F7|F7|D7|Dm7,G7'}, 'Endings': [{'Chords': 'C6,A7|Dm7,G7'}, {'Chords': 'C6|C6'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Gm7,C7|Gm7,C7|F6|F6|Am7,D7|Am7,D7|G7|G7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'C6|C6|F7|F7|D7|Dm7,G7|C6|C6'}}]",,1921
Under A Blanket Of Blue,Jerry Livingston,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Bbm7|Eb7#5|Abmaj7,Cm7|F7|Bbm7|Eb7'}, 'Endings': [{'Chords': 'Abmaj7|F7(A07)'}, {'Chords': 'Abmaj7,Dbm6|Ab6'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Ab7,Ebm7|Ab7|Dbmaj7|Dbmaj7|Bb7,Fm7|Bb7|Fm7,Bb7|Eb7#5'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Bbm7|Eb7#5|Abmaj7,Cm7|F7|Bbm7|Eb7|Abmaj7,Dbm6|Ab6'}}]",Ab,1934
