Title,Composer,Rhythm,TimeSignature,Sections,Key,Year
Ablution,Lennie Tristano,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Fm7|Bbm7|Eb7|Abmaj7|Dbmaj7|G7|Cmaj7|Cmaj7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Cm7|Fm7|Bb7|Eb7|Abmaj7|D7|Gmaj7#11|Gmaj7#11'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Am7|D7b9|Gmaj7|Gmaj7|F#m7|B7#9|Emaj7|C7#5'}}, {'Label': 'D', 'MainSegment': {'Chords': 'Fm7|Bbm7|Eb7|Abmaj7|Dbmaj7|Gb7|Cm7|B07|Bbm7|Amaj7|Ab6|C7b9'}}]",Ab,1955
Ac-Cent-Tchu-Ate The Positive,Harold Arlen,Medium Swing,4/4,"[{'Label': 'A', 'Repeats': 1, 'MainSegment': {'Chords': 'F,Faug|F6,Fmaj7|Gm7|C7|F,Faug|F6,Fmaj7|Gm7,C7|F6,C7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'F6|F7|Bbmaj7,,Gm7,C7|F6,C7|F6|D7b9|G7#5|C7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'F,Faug|F6,Fmaj7|Gm7|C7|F,Faug|F6,Fmaj7|Gm7,C7|F6,C7'}}]",F,1945
Across The Alley From The Alamo,Joe Greene,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Fmaj7|Fmaj7|Fmaj7|Fmaj7|C7|C7'}, 'Endings': [{'Chords': 'Gm7,C7|Fmaj7'}, {'Chords': 'Gm7,C7|Fmaj7,F7'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Bbmaj7|Fmaj7,F7|Bbmaj7,Bbm7|Fmaj7|A7|Dm7|G7|C7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Fmaj7|Fmaj7|Fmaj7|Fmaj7|C7|C7|Gm7,C7|Fmaj7'}}]",F,1947
Adam's Apple,Wayne Shorter,Even 8ths,4/4,[{'MainSegment': {'Chords': 'Ab7|Ab7|Ab7|Ab7|Ab7|Ab7|Ab7|Ab7|Gb7|Gb7|Gb7|Gb7|Ab7|Ab7|Ab7|Ab7|Abm7|Db7|Bbm7|Eb7#9|Ab7|Ab7|Ab7|Ab7'}}],Ab,1974
Affirmation,José Feliciano,Funk,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Em9|Em9|Bm9|Bm9|Em9|Em9|Bm9|Bm9|Bm9|Am7,D7'}, 'Endings': [{'Chords': 'Gmaj9|Gmaj9|E9|E9|A9sus|A9sus'}, {'Chords': 'Gmaj9|C9|F#m7,F9|Em7,Eb9|Dmaj9|Dmaj9'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Bbmaj9|Bbmaj9|Bbmaj9|Bbmaj9|Bbmaj9|Bbmaj9|A9sus|A9sus'}}, {'Repeats': 1, 'MainSegment': {'Chords': 'Bm9|Bm9|Bm9|Bm9'}}]",Bmin,1977
African Flower,Duke Ellington,Latin,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Ebm7|Ebm7|Ebm7|Ebm7|Abm7|Gbm7|Ebm7|Ebm7|Bbm7b5|Bbm7b5|Ebm7|Ebm7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Ebm7|Ebm7|Ebm7|Ebm7|Abm7|Gbm7|Ebm7|Ebm7|Bbm7|Bbm7|Ebm7|Ebm7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Gbmaj7|Gbmaj7|B7|B7|Gbmaj7|Gbmaj7|Gb7#11|Gb7#11'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Ab7|Abm7|Gbm7|Ebm7|Dm7|Bb7b5|Ebm7|Ebm7'}}]",Ebmin,1965
"African Queen, The",Horace Silver,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Cm9,Db9|Cm9,Db9|Cm9,Db9|Cm9,Db9|Cm9,Db9|Cm9,Db9|Cm9,Db9|Cm9,Db9'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Cm9,Db9|Cm9,Db9|Cm9,Db9|Cm9,Db9|Cm9,Db9|Cm9,Db9|Cm9,Db9|Cm9,Db9'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Bb7,A7|Ab7,G7|Cm9,Db9|Cm9,Db9|Cm9,Db9|Cm9,Db9'}}]",Cmin,1967
Afro Blue,Mongo Santamaria,Waltz,3/4,"[{'MainSegment': {'Chords': 'Fm7|Fm7|Db7#9/Ab,C7#9/G|Fm7|Fm7|Fm7|Db7#9/Ab,C7#9/G|Fm7|Eb|Eb|Db,Eb|Fm7|Eb|Eb|Db,Eb|Fm7'}}]",Fmin,1959
Afro Centric,Joe Henderson,Up Tempo Swing,4/4,[{'MainSegment': {'Chords': 'Dbmaj7#11|Dbmaj7#11|Dbmaj7#11|Dbmaj7#11|Cm7|Cm7|Cm7|Cm7|Dbmaj7#11|Dbmaj7#11|Dbmaj7#11|Dbmaj7#11|Abmaj7#11|Abmaj7#11|Abmaj7#11|Abmaj7#11|Gbmaj7#11|Gbmaj7#11|Gbmaj7#11|Gbmaj7#11|Fm7|Gbmaj7#11|Fm7|Gbmaj7#11|Gm7b5|Cmaj7#11'}}],Db,1973
After You,Cole Porter,Ballad,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Cmaj7|G7b9|Cmaj7,G7#5|Cmaj7,E7#5|Am7|D7|Dm7|G7b9|Cmaj7|G7b9|Cmaj7,G7#5|Cmaj7,E7#5|Am7|D7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Gmaj7|D7b9|Gm7|C7|Fmaj7,C7b9|F6|Fm7|Bb7|Dm7b5|G7b9'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Cmaj7|G7b9|Cmaj7,A7|Dm7,Fm6|Em7,Am7|D7,G7|C6|C6'}}]",,1959
